"","KommuneNavn","Salgsaar","Areal_Bolig","Salgstid","Pris_Salg","Areal_Grund","StorGrund","Dist_skole","Dist_raadhus","Alder","AntalFremvisninger","Areal_GarageCarport","Ejd_AntalPlan"
"1","Aabenraa",2011,124.823529411765,97.1764705882353,1058382.35294118,972.823529411765,0.0588235294117647,1.63151320806377,9.10833399813644,42.5882352941176,4.64705882352941,30.4117647058824,0.117647058823529
"2","Aabenraa",2012,136.3,215.866666666667,1053000,1151.46666666667,0.133333333333333,1.18153177774331,9.61561217175461,40.9,2.26666666666667,31.9333333333333,0.833333333333333
"3","Aabenraa",2013,177.05,229.2,1266000,3117.3,0.25,1.71639741427011,7.82549576507827,53.45,4.15,26.3,1.05
"4","Aabenraa",2014,151.765957446808,247.042553191489,944882.978723404,3884.42553191489,0.25531914893617,1.82112045020785,8.09619345162971,47.9787234042553,3.57446808510638,29.9574468085106,1.06382978723404
"5","Aabenraa",2015,143.547619047619,215.321428571429,1169845.23809524,6532.60714285714,0.226190476190476,1.6775114056502,7.5546683029192,44.5119047619048,5.39285714285714,27.8452380952381,1.01190476190476
"6","Aabenraa",2016,147.975,240.3,1359037.5,3054.6625,0.175,1.16985073892332,5.34713012381241,36.575,5.4375,26.2125,1
"7","Aabenraa",2017,149.647058823529,252.06862745098,1303657.59803922,4198.38235294118,0.186274509803922,1.4234294429177,7.54659423705517,38.3921568627451,5.20588235294118,29.1960784313725,1.1078431372549
"8","Aabenraa",2018,149.683168316832,247.762376237624,1227032.7029703,2124.07920792079,0.188118811881188,1.3188432520897,7.05189999531698,51.4257425742574,5.23762376237624,29.6831683168317,1.05940594059406
"9","Aabenraa",2019,146.125925925926,226.659259259259,1337279.25925926,2072.05185185185,0.17037037037037,1.36272405228134,6.90494374990581,47.7851851851852,5.6,29.9333333333333,1.02962962962963
"10","Aabenraa",2020,148.862903225806,256.782258064516,1351442.74193548,4314.87903225806,0.153225806451613,1.49740309115957,7.00783848264108,41.9758064516129,6.73387096774194,28.8790322580645,1.03225806451613
"11","Aabenraa",2021,157.171428571429,216,1723620.30428571,6435.74857142857,0.257142857142857,1.52903434926626,6.60620040814095,45.6971428571429,6.46857142857143,29.7714285714286,1.02285714285714
"12","Aabenraa",2022,149.616279069767,262.5,1466256.37906977,4467.08139534884,0.174418604651163,1.38769048184456,7.73072921842288,51.3488372093023,8.06976744186047,29.7790697674419,1.01162790697674
"13","Aalborg",2011,121.974358974359,76.2115384615385,1504967.78205128,2194.32051282051,0.0961538461538462,1.03411722149658,8.76655637548191,36.9807692307692,4.33333333333333,20.6089743589744,1.07051282051282
"14","Aalborg",2012,131.813492063492,184.345238095238,1586682.54365079,2091.47222222222,0.142857142857143,1.00527001314618,9.15130291625796,39.4365079365079,5.76984126984127,23.8968253968254,1.10714285714286
"15","Aalborg",2013,131.952380952381,189.531135531136,1665461.50549451,2113.49450549451,0.106227106227106,0.902207762757651,7.52986184164712,40.1941391941392,5.20512820512821,23.1172161172161,1.12820512820513
"16","Aalborg",2014,134.060126582278,194.914556962025,1662204.25,1841.85126582278,0.0791139240506329,0.95795174779302,8.31062099282655,39.9050632911392,5.58544303797468,24.0886075949367,1.05696202531646
"17","Aalborg",2015,137.972027972028,163.15034965035,1781306.0034965,1542.58741258741,0.0874125874125874,0.875960642421302,8.46628243970928,40.7972027972028,5.40909090909091,23.2832167832168,1.05594405594406
"18","Aalborg",2016,131.785714285714,145.451298701299,1864198.96103896,1979.46103896104,0.0909090909090909,0.969569399480261,8.50536401220674,41.4383116883117,4.98051948051948,23.0649350649351,1.08766233766234
"19","Aalborg",2017,129.945619335347,164.441087613293,1901426.9244713,1757.07854984894,0.0664652567975831,0.987492613967376,9.03257827621063,42.9154078549849,5.3595166163142,22.0845921450151,1.06344410876133
"20","Aalborg",2018,131.215328467153,158.547445255474,2120461.02554745,1932.36131386861,0.0802919708029197,0.945008196626562,9.29145612277484,42.0109489051095,5.37226277372263,23.7737226277372,1.07299270072993
"21","Aalborg",2019,136.368055555556,159.489583333333,2118945.28472222,1660.95486111111,0.125,0.942840173197296,7.79879434985573,43.5381944444444,6.31597222222222,24.0868055555556,0.958333333333333
"22","Aalborg",2020,128.97641509434,178.332547169811,2104789.67924528,1955.25943396226,0.110849056603774,0.921092588768299,8.86743541591856,43.6580188679245,6.33490566037736,22.6533018867925,0.985849056603774
"23","Aalborg",2021,131.887205387205,150.373737373737,2340160.8013468,2423.58417508418,0.153198653198653,0.989840209001525,8.78129616961418,41.5622895622896,6.53198653198653,21.2996632996633,1.03703703703704
"24","Aalborg",2022,134.210526315789,141.90977443609,2446881.77819549,3041.24812030075,0.150375939849624,1.00022506927422,8.65659650745329,42.6804511278196,5.86466165413534,20.6616541353383,1.00751879699248
"25","Aarhus",2011,127.970414201183,90.5207100591716,2669896.75739645,695.520710059172,0.0236686390532544,0.864569806151937,6.61462592909823,37.9763313609467,7.55621301775148,18.2899408284024,1.07100591715976
"26","Aarhus",2012,130.15857605178,187.88996763754,2633464.4012945,880.10355987055,0.0323624595469256,0.824460678310494,6.26521712160464,38,8.3495145631068,18.4304207119741,1.11650485436893
"27","Aarhus",2013,134.025280898876,214.185393258427,2706012.35955056,1545.69662921348,0.0365168539325843,0.812381430299589,6.10814389085048,40.1741573033708,8.55056179775281,21.626404494382,1.15730337078652
"28","Aarhus",2014,134.735148514851,227.391089108911,2740174.0030198,1543.62623762376,0.0495049504950495,0.803446222538028,6.43135851406752,39.3589108910891,9.22277227722772,21.2549504950495,1.14356435643564
