"","Estimate","Std. Error","t value","Pr(>|t|)"
"Salgsaar2013:Areal_Bolig",-2372.78564928277,1175.52675498934,-2.01848714987715,0.0435545498385184
"Salgsaar2014:Areal_Bolig",-3442.09244435989,1157.25624490484,-2.97435633595819,0.0029397217631782
"Salgsaar2015:Areal_Bolig",-543.342700378324,1140.36268744725,-0.476464818043651,0.633748736005601
"Salgsaar2016:Areal_Bolig",24.6249930662113,1146.38844107323,0.0214804966483766,0.982862586477812
"Salgsaar2017:Areal_Bolig",1704.92487347088,1128.64928195228,1.51058871939543,0.130909871667912
"Salgsaar2018:Areal_Bolig",2639.02406470404,1150.71892229623,2.2933698347794,0.0218375697739176
"Salgsaar2019:Areal_Bolig",2134.15994613686,1133.90041146197,1.88214055181903,0.0598321790518942
"Salgsaar2020:Areal_Bolig",4521.69076886467,1109.31684146694,4.07610395861768,4.5982471609123e-05
"Salgsaar2021:Areal_Bolig",7172.30459223554,1100.57011871733,6.51689925998949,7.35750343111232e-11
"Salgsaar2022:Areal_Bolig",9019.92121677779,1224.42175377184,7.36667834346447,1.8207531785076e-13
"KommuneNavnOdense:Areal_Bolig",-20831.6966396528,478.219103286076,-43.5609880418999,0
"KommuneNavnAalborg:Areal_Bolig",-26219.4416799774,487.253335995773,-53.8106971117891,0
"KommuneNavnAarhus:Areal_Bolig",-18382.2574877903,458.687539194611,-40.0757725402065,0
"Salgsaar2012:Areal_Grund",-8.99820320886056,10.3171132797402,-0.872162877820721,0.383130530298124
"Salgsaar2013:Areal_Grund",0.919793583467201,8.06829511281692,0.114000984173975,0.909238215779027
"Salgsaar2014:Areal_Grund",8.92812080091271,8.11075547566656,1.10077548604423,0.271008305208536
"Salgsaar2015:Areal_Grund",14.0979451698579,8.22865984090909,1.71327353936414,0.0866785137170786
"Salgsaar2016:Areal_Grund",9.98659637021783,8.21480055769733,1.21568336322667,0.224120643122349
"Salgsaar2017:Areal_Grund",4.90410072261948,7.92733740664672,0.61863151157255,0.536166541584238
"Salgsaar2018:Areal_Grund",-1.89364246953187,8.48357398635535,-0.2232128195708,0.823372270626197
"Salgsaar2019:Areal_Grund",2.65310843714015,8.78407927208556,0.302036030750692,0.762627896585141
"Salgsaar2020:Areal_Grund",3.98046527608617,7.83966629429815,0.507734019110123,0.611645771306448
"Salgsaar2021:Areal_Grund",-11.0982942159902,7.76750629904611,-1.42881045585417,0.153075130974044
"Salgsaar2022:Areal_Grund",-3.31521815760489,8.50624873339573,-0.389739150771511,0.696733804199485
"KommuneNavnOdense:Areal_Grund",6.62128220244496,5.70954832162081,1.1596858156663,0.24619129564716
"KommuneNavnAalborg:Areal_Grund",14.0022755152444,4.26024179799751,3.28673257978598,0.001015405273755
"KommuneNavnAarhus:Areal_Grund",22.0160370944811,4.24449018884058,5.18696854391716,2.15935251538948e-07
"Salgsaar2012:Dist_skole",61720.3988823191,85578.7622207535,0.721211633361898,0.470788174457921
"Salgsaar2013:Dist_skole",-91135.106516847,85469.9635618108,-1.0662822671141,0.286309589168106
"Salgsaar2014:Dist_skole",-58541.9678489378,84315.9175904681,-0.694316915736868,0.487491959956486
"Salgsaar2015:Dist_skole",-30220.2991998758,81574.7343489513,-0.370461509204588,0.711042773558508
"Salgsaar2016:Dist_skole",-87439.4808194317,80132.4084528748,-1.09118747966816,0.275204209810606
"Salgsaar2017:Dist_skole",25264.3173310564,81488.2828187512,0.310036197317474,0.756536824783434
"Salgsaar2018:Dist_skole",-94578.6722316715,81280.4139102619,-1.16360962846586,0.244596835325006
"Salgsaar2019:Dist_skole",-65839.2107434755,79893.6211026,-0.824085951229126,0.409901049121741
"Salgsaar2020:Dist_skole",-51531.2071996272,78965.3322850984,-0.652580134958182,0.514034877511213
"Salgsaar2021:Dist_skole",-82492.7475078555,76423.9028409401,-1.07941029496421,0.280418542617705
"Salgsaar2022:Dist_skole",-216660.467742319,84069.4537657785,-2.57716040770225,0.00996902797145153
"KommuneNavnOdense:Dist_skole",61079.4921012012,52591.7389466893,1.16138947531504,0.245498112576407
"KommuneNavnAalborg:Dist_skole",6260.97750119701,47215.6231388586,0.132603936683919,0.894508020743703
"KommuneNavnAarhus:Dist_skole",-15315.3412093212,47468.4952564703,-0.322642230948612,0.746969751229343
"Salgsaar2012:Dist_raadhus",-15275.2876401648,11573.1068780255,-1.31989515012333,0.186885902253466
"Salgsaar2013:Dist_raadhus",-18288.8626356831,11653.6503726823,-1.56936771318921,0.116578907005793
"Salgsaar2014:Dist_raadhus",-32005.2871979894,11314.6759522348,-2.82865256884957,0.00467932723463213
"Salgsaar2015:Dist_raadhus",-46408.4913334692,11306.707695936,-4.10450969296304,4.06862154300331e-05
"Salgsaar2016:Dist_raadhus",-38843.2459998714,10966.8272969439,-3.54188544673223,0.000398227777867479
"Salgsaar2017:Dist_raadhus",-58335.3915447425,10917.8778862244,-5.34310716355852,9.24174509152829e-08
"Salgsaar2018:Dist_raadhus",-65684.7742610793,11128.736658338,-5.90226692190314,3.64624240786032e-09
"Salgsaar2019:Dist_raadhus",-73717.3216679203,11366.9919810355,-6.48520926124599,9.07877334774715e-11
"Salgsaar2020:Dist_raadhus",-60634.3906410823,10524.2172945788,-5.76141568953693,8.4698805172428e-09
"Salgsaar2021:Dist_raadhus",-83454.0053202292,10203.6647699913,-8.17882664723223,3.04461607004062e-16
"Salgsaar2022:Dist_raadhus",-91347.6562446918,11702.111039042,-7.80608352970901,6.20330296758796e-15
"KommuneNavnOdense:Dist_raadhus",-149098.307732183,16523.4667933581,-9.0234276860178,1.99254278459475e-19
"KommuneNavnAalborg:Dist_raadhus",2511.70013776678,15175.3873171635,0.165511435410022,0.868543207769329
"KommuneNavnAarhus:Dist_raadhus",-78328.6431487837,15537.6384934724,-5.04121930637597,4.66819339297404e-07
"Salgsaar2012:Alder",352.242748721679,1764.86364324736,0.199586381684168,0.841806211582899
"Salgsaar2013:Alder",-1606.44704401618,1693.57506893328,-0.948553786297775,0.342859648763415
"Salgsaar2014:Alder",451.443374688425,1675.57278556751,0.269426299219536,0.787604571115737
"Salgsaar2015:Alder",-1386.66311475059,1631.42821316149,-0.849968820916385,0.395353113180363
"Salgsaar2016:Alder",818.791532287543,1617.41061477828,0.506236032338507,0.61269682660272
"Salgsaar2017:Alder",802.747774741759,1608.54609306111,0.499051769921065,0.617748681681032
"Salgsaar2018:Alder",-1151.92325564416,1630.07548739414,-0.706668657097369,0.479781062919136
"Salgsaar2019:Alder",-549.226775111338,1618.58618897773,-0.339325010216613,0.734368647695753
"Salgsaar2020:Alder",1288.00562615281,1578.432029466,0.816003224787927,0.414508503814062
"Salgsaar2021:Alder",1720.89133040481,1569.66727976523,1.09634146840482,0.272943240399593
"Salgsaar2022:Alder",1518.23269914933,1672.73716103248,0.907633748156951,0.364083249674181
"KommuneNavnOdense:Alder",-2763.14466077256,567.881268468495,-4.86570840454805,1.14959977252709e-06
"KommuneNavnAalborg:Alder",-4496.0449857738,659.580364703585,-6.81652339331587,9.60646129192931e-12
"KommuneNavnAarhus:Alder",-784.851578397137,564.870957110687,-1.38943517721579,0.164716713870731
"Salgsaar2012:AntalFremvisninger",1632.52416566939,6406.26896506199,0.254832286089254,0.798855391010862
"Salgsaar2013:AntalFremvisninger",-5841.71667361494,5914.75973025237,-0.987650714489072,0.323336295521052
"Salgsaar2014:AntalFremvisninger",8961.14262586741,5840.94638802005,1.53419361017368,0.124998651498321
"Salgsaar2015:AntalFremvisninger",4323.57591801765,5732.99286224086,0.754156863946921,0.45076436634059
"Salgsaar2016:AntalFremvisninger",6485.58217842992,5997.11943832164,1.0814495600983,0.279510888705284
"Salgsaar2017:AntalFremvisninger",2939.7998388187,5961.82824216584,0.493103745932593,0.62194497344194
"Salgsaar2018:AntalFremvisninger",1227.99651039249,6073.4612374249,0.202190556980183,0.839769916230732
"Salgsaar2019:AntalFremvisninger",3647.21341532592,5894.55071846826,0.6187432409223,0.536092924304899
"Salgsaar2020:AntalFremvisninger",5476.4071979447,5404.60494733775,1.01328538372491,0.3109367484205
"Salgsaar2021:AntalFremvisninger",24743.1480679457,5401.11057451959,4.58112229449154,4.65420795330234e-06
"Salgsaar2022:AntalFremvisninger",13831.6724173658,6053.5601569639,2.28488229384392,0.0223306819753083
"KommuneNavnOdense:AntalFremvisninger",1709.66489571067,2668.5315221077,0.640676297636656,0.521740730551052
"KommuneNavnAalborg:AntalFremvisninger",11165.0625706935,3455.62770383783,3.23097958680373,0.00123576398929704
"KommuneNavnAarhus:AntalFremvisninger",6992.87082974193,2190.78407438434,3.19194890610436,0.00141545951072202
"Salgsaar2012:Areal_GarageCarport",3748.79475774107,2992.29216289825,1.25281708926113,0.210287673447345
"Salgsaar2013:Areal_GarageCarport",-808.913645035955,2539.99996592228,-0.318469943263262,0.750131985066654
"Salgsaar2014:Areal_GarageCarport",2046.21375574507,2769.96951617168,0.73871345651959,0.460090122355102
"Salgsaar2015:Areal_GarageCarport",-2122.79597192394,2657.14343157718,-0.798901537153349,0.424357476990981
"Salgsaar2016:Areal_GarageCarport",-2586.27922023203,2589.08339436834,-0.998916923980741,0.317847637029848
"Salgsaar2017:Areal_GarageCarport",-3031.83914312188,2520.36698756765,-1.20293558758593,0.229016211630442
"Salgsaar2018:Areal_GarageCarport",-6403.31611623199,2670.79800406634,-2.39752916786774,0.0165156429599826
"Salgsaar2019:Areal_GarageCarport",1740.29520880201,2625.54124264552,0.662832935371632,0.507445584529545
"Salgsaar2020:Areal_GarageCarport",-5033.72360057039,2506.5434652031,-2.00823311881509,0.044632627599437
"Salgsaar2021:Areal_GarageCarport",-3955.33309290215,2543.35377962469,-1.5551643363928,0.119923563243264
"Salgsaar2022:Areal_GarageCarport",-5296.77330932462,2853.62379436346,-1.85615683461391,0.0634466512766436
"KommuneNavnOdense:Areal_GarageCarport",3049.98804622357,1342.88911974756,2.2712136105451,0.0231451676648392
"KommuneNavnAalborg:Areal_GarageCarport",5144.04734846495,1294.36844256695,3.97417549694232,7.08839271553382e-05
"KommuneNavnAarhus:Areal_GarageCarport",4428.94229151567,1258.62986220868,3.51886001158725,0.00043441657790692
"Salgsaar2012:Ejd_AntalPlan",-58979.3820397316,54998.9045323924,-1.07237375982634,0.283565786403232
"Salgsaar2013:Ejd_AntalPlan",7545.45880390726,50292.4851916937,0.150031536026648,0.880741324541916
"Salgsaar2014:Ejd_AntalPlan",65409.0833027755,50161.1919790758,1.30397785064717,0.192256905234754
"Salgsaar2015:Ejd_AntalPlan",151405.308180262,50904.878332924,2.97427895201032,0.00294046294264159
"Salgsaar2016:Ejd_AntalPlan",121077.76926102,55704.7994742612,2.17356081349803,0.0297504206948814
"Salgsaar2017:Ejd_AntalPlan",144286.773128348,57996.5575767202,2.48785064419522,0.0128602602150618
"Salgsaar2018:Ejd_AntalPlan",167183.00079305,65872.3295652084,2.53798524959637,0.0111571728216731
"Salgsaar2019:Ejd_AntalPlan",324928.19454662,55910.8839059409,5.81153742969344,6.28901397137939e-09
"Salgsaar2020:Ejd_AntalPlan",407375.552077536,53530.7620071404,7.61012055130462,2.86581094072518e-14
"Salgsaar2021:Ejd_AntalPlan",236506.397119543,54967.09610482,4.30269040715805,1.69578316716636e-05
"Salgsaar2022:Ejd_AntalPlan",341488.135905128,63137.4080931931,5.40864989898032,6.42674200952249e-08
"KommuneNavnOdense:Ejd_AntalPlan",72165.317811342,41224.1537166659,1.75055910928664,0.0800379955564189
"KommuneNavnAalborg:Ejd_AntalPlan",64563.0568219431,35779.5338320997,1.80446892139272,0.0711736287295088
"KommuneNavnAarhus:Ejd_AntalPlan",74430.9426749185,25606.0148552574,2.90677573592193,0.00365596192120993
"Salgsaar2012:Salgstid",1377.67403883726,606.933802891569,2.2698917612987,0.0232252849546949
"Salgsaar2013:Salgstid",1712.18222683409,580.801995452273,2.94796202533844,0.00320264761855027
"Salgsaar2014:Salgstid",1778.21900654446,572.560813413298,3.10572949612755,0.00190089134467078
"Salgsaar2015:Salgstid",1701.28793548513,569.608958772459,2.98676470811047,0.00282305691692993
"Salgsaar2016:Salgstid",1574.77923080775,569.694393459458,2.7642526394633,0.00571082244975634
"Salgsaar2017:Salgstid",1700.70460582323,568.930871915597,2.98929920975625,0.00279975362273918
"Salgsaar2018:Salgstid",1574.24794083758,572.165682376076,2.75138476376298,0.00594000254810435
"Salgsaar2019:Salgstid",1973.9775839737,566.946299373884,3.48177170598643,0.000499225305187321
"Salgsaar2020:Salgstid",2037.31016607339,565.458874579609,3.60293251668927,0.000315449174318845
"Salgsaar2021:Salgstid",1314.6562343613,567.114606639947,2.31814913417661,0.0204517627402343
"Salgsaar2022:Salgstid",1777.06960674623,584.124204771459,3.04228037843683,0.00235112906923646
"KommuneNavnOdense:Salgstid",-347.132039527342,116.308173435915,-2.98458852265108,0.00284320688774656
"KommuneNavnAalborg:Salgstid",-590.209512079319,115.493879211161,-5.11030988058007,3.24741829755946e-07
"KommuneNavnAarhus:Salgstid",-425.872501747952,100.877307918359,-4.22168781598153,2.43604821074286e-05
